Tokenizer,Vocabulary Size,average compression,average code compression,average english compression,average multilingual compression,ar Compression,arxiv_test Compression,arxiv_train Compression,arz Compression,b3g_test Compression,b3g_train Compression,bg Compression,c Compression,c# Compression,c++ Compression,c4_train Compression,ca Compression,ccnet_test Compression,ccnet_train Compression,cs Compression,da Compression,dart Compression,de Compression,deduped_code_test Compression,deduped_code_train Compression,elixir Compression,en Compression,es Compression,fa Compression,fi Compression,fr Compression,go Compression,haskell Compression,hr Compression,hu Compression,id Compression,it Compression,ja Compression,java Compression,javascript Compression,ko Compression,kotlin Compression,lua Compression,markdown Compression,math_train Compression,mmlu Compression,nb Compression,nl Compression,perl Compression,php Compression,pl Compression,pt Compression,python Compression,ro Compression,ru Compression,ruby Compression,rust Compression,scala Compression,shell Compression,sl Compression,sr Compression,stack_exchange_test Compression,stack_exchange_train Compression,sv Compression,swift Compression,typescript Compression,uk Compression,vi Compression,wikipedia_test Compression,wikipedia_train Compression,zh Compression,average code renyi,average english renyi,average multilingual renyi,average renyi,cp,mp,msl,mt,nc,nrn,rsc,sp,u64,vs,ar Token Count,arxiv_test Token Count,arxiv_train Token Count,arz Token Count,b3g_test Token Count,b3g_train Token Count,bg Token Count,c Token Count,c# Token Count,c++ Token Count,c4_train Token Count,ca Token Count,ccnet_test Token Count,ccnet_train Token Count,cs Token Count,da Token Count,dart Token Count,de Token Count,deduped_code_test Token Count,deduped_code_train Token Count,elixir Token Count,en Token Count,es Token Count,fa Token Count,fi Token Count,fr Token Count,go Token Count,haskell Token Count,hr Token Count,hu Token Count,id Token Count,it Token Count,ja Token Count,java Token Count,javascript Token Count,ko Token Count,kotlin Token Count,lua Token Count,markdown Token Count,math_train Token Count,mmlu Token Count,nb Token Count,nl Token Count,perl Token Count,php Token Count,pl Token Count,pt Token Count,python Token Count,ro Token Count,ru Token Count,ruby Token Count,rust Token Count,scala Token Count,shell Token Count,sl Token Count,sr Token Count,stack_exchange_test Token Count,stack_exchange_train Token Count,sv Token Count,swift Token Count,typescript Token Count,uk Token Count,vi Token Count,wikipedia_test Token Count,wikipedia_train Token Count,zh Token Count,average c/e compression
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_256000,256000.0,0.7809357723,0.7143436599,0.8360923565,0.7923713005,0.6435357619,0.7975229642,0.8027361923,0.6377621202,0.8669270143,0.8445418183,0.9677840217,0.6728042893,0.6880466981,0.6863678349,0.8340356069,0.842951043,0.8222142405,0.8277567702,0.8864548549,0.8459428829,0.7034644724,0.7838415324,0.6808402478,0.6950430346,0.7474722754,0.8052274618,0.7736828027,0.6070346335,0.8135614376,0.844487768,0.6745663103,0.7839318885,0.8749368971,0.8305431726,0.6756344382,0.8773985378,0.6756290694,0.6797758437,0.7130773778,0.5202129103,0.6901088813,0.719790258,0.6881509482,0.8207026676,0.8500007094,0.8436158239,0.8773710468,0.7476611755,0.7089512673,0.8114229502,0.7637319884,0.7058677773,0.8508282426,0.8894979762,0.7527081923,0.7190871979,0.7209215933,0.7251094227,0.8725533932,0.9629947579,0.7784154983,0.7771486073,0.8429480861,0.7238408344,0.7189438929,0.9328634361,0.6219607364,0.8316228415,0.8198449185,0.6075853927,0.4644865921,0.4330998109,0.5154951029,0.488736716,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,256000.0,680068.0,3697594.0,2819354.0,1335736.0,6476178.0,5768827.0,531116.0,1390745.0,709822.0,1784137.0,502760.0,267261.0,1073612.0,996889.0,1064775.0,367986.0,789584.0,387757.0,1376804.0,1066114.0,751324.0,674717.0,378898.0,417275.0,619213.0,406745.0,1174453.0,1107401.0,414224.0,130230.0,193951.0,874504.0,1229853.0,800727.0,780491.0,379500.0,538238.0,1546776.0,891311.0,3966044.0,59914.0,368008.0,495061.0,1444047.0,814339.0,205389.0,215933.0,1119543.0,251116.0,372721.0,538087.0,1717959.0,846119.0,469169.0,594605.0,400471.0,793811.0,801642.0,290780.0,734275.0,556771.0,386462.0,142661.0,719155.0,809264.0,588266.0,0.7447808340500001
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_254000,254000.0,0.7814496343,0.7145415296,0.8363839015,0.7934234719,0.6473454912,0.7976407293,0.8028401164,0.6411138979,0.8674018298,0.8448982962,0.9685730217,0.6729460347,0.6881649555,0.6865397984,0.8343093277,0.8441779634,0.8224087637,0.8279328022,0.8866879627,0.8469451794,0.7036800775,0.7840032505,0.680951512,0.6951916771,0.7476294654,0.8055114981,0.7753755618,0.6084602974,0.8138596846,0.8447286083,0.6747248354,0.7841393039,0.8752938642,0.8369143054,0.6756518559,0.8784128841,0.676089431,0.6799821381,0.7135451546,0.5207228424,0.6903948036,0.7199694173,0.6886736369,0.8209927868,0.8502135145,0.844397527,0.8786311154,0.7478662061,0.7090870785,0.8116086314,0.7640255505,0.7060027036,0.8510586394,0.8897223071,0.7528061125,0.719259649,0.7210860358,0.7253706154,0.8735556619,0.9635502333,0.7785567055,0.7772184075,0.8438177623,0.7239581434,0.7191207974,0.9341814012,0.6223007939,0.8324323137,0.8207019798,0.6080749595,0.4645847689,0.4332109293,0.5154938528,0.4887897787,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,254000.0,684094.0,3698140.0,2819719.0,1342756.0,6479725.0,5771262.0,531549.0,1391038.0,709944.0,1784584.0,502925.0,267650.0,1073866.0,997101.0,1065055.0,368422.0,789826.0,387837.0,1377029.0,1066342.0,751482.0,674955.0,379727.0,418255.0,619440.0,406861.0,1174729.0,1107694.0,414393.0,131229.0,193956.0,875515.0,1230691.0,800970.0,781003.0,379872.0,538461.0,1547161.0,891988.0,3967446.0,59929.0,368349.0,495772.0,1444443.0,814495.0,205436.0,216016.0,1119757.0,251184.0,372815.0,538157.0,1718371.0,846312.0,469338.0,595288.0,400702.0,793955.0,801714.0,291080.0,734394.0,556908.0,387008.0,142739.0,719855.0,810110.0,588740.0,0.745002122575
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_252000,252000.0,0.7818310263,0.7147491015,0.8367005515,0.7940434259,0.6475508342,0.7977783376,0.8029955754,0.6425567857,0.8678609833,0.8452666323,0.9700307582,0.6731187415,0.6884101942,0.6866721372,0.8344719013,0.8463353246,0.8226086477,0.8281304232,0.8870359594,0.8472141443,0.7038858825,0.7841710331,0.68110926,0.6953989942,0.7477249732,0.8058778811,0.7755164549,0.6091847675,0.8146992435,0.8450068203,0.6749333304,0.7843191111,0.8758578299,0.836958948,0.6759270548,0.8791101845,0.6766327457,0.6801672089,0.7137050393,0.521177943,0.6907012406,0.7204073104,0.6890071694,0.8212388293,0.8504546938,0.8448743429,0.8795261008,0.7479909849,0.7092359485,0.8126121001,0.7640962884,0.7061987879,0.8514279519,0.8900922143,0.7530481152,0.7194325187,0.7212990441,0.7256163528,0.8752960581,0.9639470014,0.7786900678,0.7773880605,0.8446265611,0.7242065624,0.7193493529,0.9347583127,0.6224359449,0.8330914553,0.821410119,0.6085996428,0.4646846022,0.4333398262,0.5156171642,0.4889061095,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,252000.0,684311.0,3698778.0,2820265.0,1345778.0,6483155.0,5773778.0,532349.0,1391395.0,710197.0,1784928.0,503023.0,268334.0,1074127.0,997339.0,1065473.0,368539.0,790057.0,387920.0,1377348.0,1066660.0,751578.0,675262.0,379796.0,418753.0,620079.0,406995.0,1175092.0,1107948.0,414660.0,131236.0,194035.0,876210.0,1231680.0,801188.0,781178.0,380204.0,538700.0,1548102.0,892420.0,3968635.0,59946.0,368557.0,496277.0,1444684.0,814666.0,205690.0,216036.0,1120068.0,251293.0,372970.0,538330.0,1718784.0,846562.0,469497.0,596474.0,400867.0,794091.0,801889.0,291359.0,734646.0,557085.0,387247.0,142770.0,720425.0,810809.0,589248.0,0.7452369640000001
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_250000,250000.0,0.7822395631,0.7149398922,0.836944984,0.794833813,0.6482756859,0.7979254361,0.8031356593,0.643992034,0.868285466,0.8455758238,0.971063929,0.6732933834,0.6886418623,0.6868444854,0.8347240562,0.8472499953,0.8228567796,0.8283355171,0.8875945856,0.8476118446,0.704148707,0.7863582703,0.6812571178,0.6956121788,0.7477727271,0.8061404357,0.775916673,0.609773945,0.8160341289,0.8460802206,0.6750757733,0.7845421004,0.8764661525,0.8393313818,0.6761743856,0.8798546405,0.6768656733,0.6805356524,0.713879542,0.5215192684,0.6909307478,0.720625559,0.6892897456,0.8215169463,0.8504972548,0.8455872745,0.8799319457,0.7482203499,0.709369148,0.8131533411,0.7643615554,0.7062977759,0.8523021044,0.8907365688,0.7531866023,0.7196258983,0.7214847874,0.7257755412,0.8763012617,0.9644856442,0.7788047987,0.7775024551,0.8458441077,0.7244411804,0.7195740345,0.9352169453,0.6228239592,0.8338234495,0.8220817876,0.6092730553,0.4647766327,0.4334579175,0.5157996053,0.4890487075,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,250000.0,685077.0,3699460.0,2820757.0,1348784.0,6486326.0,5775890.0,532916.0,1391756.0,710436.0,1785376.0,503175.0,268624.0,1074451.0,997586.0,1066144.0,368712.0,790352.0,389002.0,1377647.0,1066987.0,751626.0,675482.0,379992.0,419158.0,621095.0,407512.0,1175340.0,1108263.0,414948.0,131608.0,194106.0,876952.0,1232104.0,801622.0,781369.0,380453.0,538879.0,1548571.0,892786.0,3969979.0,59949.0,368868.0,496506.0,1445127.0,814819.0,205827.0,216111.0,1120225.0,251551.0,373240.0,538429.0,1719246.0,846780.0,469600.0,597159.0,401091.0,794208.0,802007.0,291779.0,734884.0,557259.0,387437.0,142859.0,721058.0,811472.0,589900.0,0.74544116515
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_248000,248000.0,0.7826032423,0.7151444774,0.8371952744,0.7954699751,0.6496922693,0.798195692,0.8032857086,0.6440431224,0.8686364574,0.8458110846,0.9720715894,0.6735328508,0.6890722417,0.6870714618,0.8349546453,0.8473477704,0.8231118041,0.8285929225,0.8889457783,0.8486348307,0.7043268931,0.786594783,0.6814697562,0.695774512,0.7479040504,0.8064220851,0.7761331174,0.610366032,0.8167685787,0.8462899177,0.6752320009,0.7847573027,0.8765506418,0.8393505143,0.6763206939,0.8805439144,0.6773496573,0.6807521343,0.7140111042,0.5218482568,0.6911910269,0.7208144906,0.6897553014,0.8218165843,0.8506107509,0.8462406041,0.8805362824,0.7483699808,0.7094884182,0.8173331437,0.7645313263,0.7064289191,0.8531084932,0.8915694566,0.7532775282,0.7198125808,0.7217361372,0.7259980959,0.876514042,0.9648367239,0.7789538507,0.7776284831,0.8462731479,0.7246481963,0.7197186572,0.9363393881,0.622932952,0.8348040673,0.8229094696,0.6095622509,0.4648782885,0.4335771484,0.5158807157,0.4891457086,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,248000.0,686574.0,3700713.0,2821284.0,1348891.0,6488948.0,5777497.0,533469.0,1392251.0,710880.0,1785966.0,503314.0,268655.0,1074784.0,997896.0,1067767.0,369157.0,790552.0,389119.0,1378077.0,1067236.0,751758.0,675718.0,380098.0,419565.0,621654.0,407613.0,1175612.0,1108567.0,414988.0,131611.0,194148.0,877639.0,1232985.0,801877.0,781513.0,380693.0,539082.0,1548977.0,893389.0,3971427.0,59957.0,369153.0,496847.0,1445416.0,814956.0,206885.0,216159.0,1120433.0,251789.0,373589.0,538494.0,1719692.0,847075.0,469744.0,597304.0,401237.0,794360.0,802137.0,291927.0,735094.0,557371.0,387902.0,142884.0,721906.0,812289.0,590180.0,0.74565717665
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_246000,246000.0,0.7829315622,0.7153588024,0.8374537054,0.7959821788,0.6507388566,0.7985595559,0.8034730566,0.6440483745,0.8690562549,0.8461255464,0.9724578896,0.6736842716,0.6892447812,0.6872668923,0.835133808,0.8478744946,0.8233201124,0.8288337211,0.8899664575,0.8487842557,0.704456078,0.7868393816,0.681587449,0.6960372441,0.748064225,0.8066858332,0.7765802999,0.6103805795,0.8171351466,0.8466636354,0.6754485371,0.7850829379,0.877118832,0.8393760244,0.6764704858,0.8811559334,0.6779281308,0.6809618245,0.7141527163,0.5222965035,0.6914359201,0.7210741552,0.6901297534,0.8221230511,0.8507526211,0.8463964862,0.8808606038,0.7486552633,0.7096886527,0.8213233144,0.7649592904,0.7066306779,0.8536844851,0.8920753942,0.7534915537,0.7199988447,0.7219687423,0.7261665575,0.87679726,0.9650675708,0.7790744652,0.7778029834,0.8465514442,0.7250267395,0.7199614167,0.9369549212,0.6230506642,0.8354181097,0.8235558113,0.6099464678,0.4649841149,0.4336920563,0.5160099833,0.4892667964,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,246000.0,687680.0,3702400.0,2821942.0,1348902.0,6492084.0,5779645.0,533681.0,1392564.0,711058.0,1786474.0,503422.0,268822.0,1075056.0,998186.0,1068993.0,369222.0,790697.0,389240.0,1378315.0,1067639.0,751919.0,675939.0,380317.0,419575.0,621933.0,407793.0,1175989.0,1109027.0,415257.0,131615.0,194191.0,878249.0,1234038.0,802124.0,781668.0,381020.0,539273.0,1549535.0,893874.0,3972908.0,59967.0,369221.0,497030.0,1445967.0,815186.0,207895.0,216280.0,1120753.0,251959.0,373801.0,538647.0,1720137.0,847348.0,469853.0,597497.0,401333.0,794483.0,802317.0,292023.0,735478.0,557559.0,388157.0,142911.0,722437.0,812927.0,590552.0,0.7458825281500001
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_244000,244000.0,0.7833375213,0.7155616988,0.837692071,0.7967587941,0.6536969325,0.7986932819,0.8036165572,0.6450047293,0.8693852926,0.8464455713,0.9732997325,0.6738661701,0.6894628788,0.6874153888,0.8353478079,0.8480952771,0.8235414399,0.8290985995,0.8904251803,0.8492532201,0.7046975202,0.7870415292,0.6817145375,0.6962765063,0.7481925637,0.8069328731,0.7774195327,0.6110279474,0.8178341221,0.8470975632,0.675655309,0.7854574183,0.8771927601,0.8457344022,0.6765157717,0.8817970485,0.6785988965,0.6811969832,0.7143180828,0.5235315808,0.6916846597,0.7213482456,0.6904725507,0.8224251722,0.8509086782,0.8467013734,0.8813426554,0.7488597762,0.7098218522,0.821540601,0.7652316311,0.7067864105,0.8539081056,0.8930634045,0.7536412317,0.7200880003,0.7222004954,0.7264277501,0.8771010222,0.9654066272,0.7792303815,0.7779580947,0.8473312538,0.7252012244,0.720179642,0.9372373423,0.6232337721,0.836242615,0.8243804541,0.6103410132,0.465082919,0.4338148818,0.5160979831,0.4893654435,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,244000.0,690806.0,3703020.0,2822446.0,1350905.0,6494542.0,5781831.0,534143.0,1392940.0,711283.0,1786860.0,503551.0,268892.0,1075345.0,998505.0,1069544.0,369426.0,790968.0,389340.0,1378572.0,1068006.0,752048.0,676146.0,380728.0,420020.0,622465.0,408002.0,1176349.0,1109556.0,415292.0,132612.0,194204.0,878888.0,1235259.0,802401.0,781849.0,381921.0,539467.0,1550124.0,894318.0,3974368.0,59978.0,369354.0,497302.0,1446362.0,815339.0,207950.0,216357.0,1121000.0,252025.0,374215.0,538754.0,1720350.0,847620.0,470022.0,597704.0,401474.0,794642.0,802477.0,292292.0,735655.0,557728.0,388274.0,142953.0,723150.0,813741.0,590934.0,0.74609429185
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_242000,242000.0,0.7836963558,0.7157604702,0.8380402044,0.7972883927,0.6536969325,0.7988692825,0.8037973566,0.6450052067,0.8698941096,0.8467590084,0.9737498087,0.6740412958,0.6896334796,0.6875715793,0.8355866915,0.8484327591,0.8238087179,0.8293377375,0.8917530622,0.8494991966,0.7050690382,0.7874761466,0.6818594283,0.696422541,0.7482880716,0.8072371978,0.7776788577,0.6115822106,0.8188287169,0.8474276804,0.6759545538,0.7857065999,0.8782383146,0.8457599122,0.6766272447,0.882643842,0.6798706593,0.6814287461,0.7144578677,0.5245514449,0.691915449,0.7216083755,0.6908083995,0.8227262588,0.8512207925,0.8470200148,0.881996615,0.7490254574,0.7098923696,0.8217499862,0.7659177885,0.7069408821,0.8545010385,0.8935645691,0.7537335564,0.7201625059,0.7223879427,0.7266951248,0.87731527,0.9657985861,0.7793676663,0.7781006033,0.8478907455,0.7254683734,0.7204740525,0.9375511436,0.6243585775,0.8369896422,0.8249791813,0.6108770578,0.465182211,0.4339537177,0.5162137071,0.4894799038,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,242000.0,690806.0,3703836.0,2823081.0,1350906.0,6498343.0,5783972.0,534390.0,1393302.0,711459.0,1787266.0,503695.0,268999.0,1075694.0,998793.0,1071139.0,369533.0,791385.0,389555.0,1378865.0,1068230.0,752144.0,676401.0,380855.0,420401.0,623222.0,408161.0,1176870.0,1109908.0,415787.0,132616.0,194236.0,879732.0,1237574.0,802674.0,782002.0,382665.0,539647.0,1550683.0,894753.0,3975823.0,60000.0,369493.0,497671.0,1446682.0,815420.0,208003.0,216551.0,1121245.0,252200.0,374425.0,538820.0,1720528.0,847840.0,470195.0,597850.0,401637.0,794782.0,802624.0,292485.0,735926.0,557956.0,388404.0,143211.0,723796.0,814332.0,591453.0,0.7463304037499999
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_240000,240000.0,0.7841800341,0.7159535486,0.8383821892,0.7982043644,0.6537716888,0.7990051653,0.8039835658,0.6462103188,0.8704513854,0.8470361388,0.9756120671,0.674189814,0.6898796876,0.687794324,0.8358405054,0.8489689454,0.8240828883,0.829571063,0.893597944,0.8502693097,0.7052026778,0.7881371693,0.6820216268,0.6965581446,0.7485119181,0.8075892596,0.7781382917,0.6138923682,0.8192071096,0.8477328832,0.676190044,0.78590906,0.8816601293,0.8457726673,0.6766725306,0.8839531615,0.6804348495,0.6816231552,0.7146223204,0.5248516468,0.6921705995,0.721834535,0.6911627778,0.8229952708,0.8514052237,0.848028664,0.8831592099,0.749289512,0.7100394984,0.8219277661,0.7660592642,0.7071331835,0.8546840006,0.8939487953,0.7538132914,0.7202504057,0.7225515331,0.7269408623,0.8776366417,0.96894628,0.7794608238,0.7783313314,0.8497489535,0.7256606024,0.7206793651,0.9387194496,0.6248250666,0.8377493897,0.8257359481,0.6113593947,0.4652792992,0.4340906188,0.516286562,0.4895702568,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,240000.0,690885.0,3704466.0,2823735.0,1353430.0,6502506.0,5785865.0,535412.0,1393609.0,711713.0,1787845.0,503848.0,269169.0,1076052.0,999074.0,1073355.0,369868.0,791535.0,389882.0,1379193.0,1068438.0,752369.0,676696.0,381080.0,421989.0,623510.0,408308.0,1177280.0,1110194.0,417407.0,132618.0,194249.0,881037.0,1238601.0,802903.0,782182.0,382884.0,539846.0,1551169.0,895212.0,3977123.0,60013.0,369933.0,498327.0,1447192.0,815589.0,208048.0,216591.0,1121550.0,252254.0,374586.0,538877.0,1720738.0,848032.0,470354.0,598069.0,402946.0,794877.0,802862.0,293126.0,736121.0,558115.0,388888.0,143318.0,724453.0,815079.0,591920.0,0.74656070875
u64_h2_cp_0.7_msl_128_mt_BPE_mp_0.0_nrn_gpt_nc_10000000000_vs_238000,238000.0,0.7847795511,0.7161473223,0.8386627856,0.7995285453,0.6578217736,0.7991561462,0.8041472817,0.6462112737,0.8708960815,0.8474232138,0.9770206051,0.6743954173,0.6900754909,0.6879732122,0.8360760712,0.8503472595,0.824346337,0.8298077099,0.894675235,0.8511727559,0.7054859937,0.7883554887,0.6821551439,0.6967537268,0.7487745647,0.807890004,0.7808908119,0.6153762225,0.8200256466,0.8503239925,0.676398539,0.7861532864,0.8819959741,0.8521629326,0.6789577273,0.8859336953,0.6809474001,0.6818591629,0.7147538827,0.5256987919,0.6924039532,0.7220834966,0.6915210164,0.8233249139,0.8515187198,0.848374814,0.8843058546,0.7494044534,0.7101509333,0.8220976446,0.7670319099,0.7072945906,0.855032984,0.8954857001,0.7539545762,0.7203969054,0.7227773219,0.7270985052,0.8785464609,0.9697157697,0.7795853607,0.7784835344,0.8504273009,0.7258143856,0.7208782212,0.9395208497,0.6262419727,0.8385658003,0.8265889571,0.6116289662,0.4653743119,0.4342269524,0.5164580428,0.4897111828,70,0,128.0,BPE,10.0,gpt,0.0,False,1.0,238000.0,695165.0,3705166.0,2824310.0,1353432.0,6505828.0,5788509.0,536185.0,1394034.0,711915.0,1788310.0,503990.0,269606.0,1076396.0,999359.0,1074649.0,370261.0,791853.0,389990.0,1379463.0,1068738.0,752633.0,676948.0,382428.0,423009.0,624133.0,409556.0,1177643.0,1110539.0,417566.0,133620.0,194905.0,883011.0,1239534.0,803181.0,782326.0,383502.0,540028.0,1551704.0,895676.0,3978716.0,60021.0,370084.0,498974.0,1447414.0,815717.0,208091.0,216866.0,1121806.0,252357.0,375230.0,538978.0,1721088.0,848297.0,470456.0,598689.0,403266.0,795004.0,803019.0,293360.0,736277.0,558269.0,389220.0,143643.0,725159.0,815921.0,592181.0,0.746776188125
